"Month","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2015-02-01,NA,42.8512,NA,14.22445,NA,2.315329,1426.237,313.7655,28.27865,NA,34.34635,5.8489,1072.282339,63.7709,NA,NA,78.6873,951.61695,270.00215,792.30295,8.21475,NA,7.61405,14.88315,20.2555
2015-03-01,NA,49.505,NA,14.1601,NA,2.554646,1452.0155,315.4669,28.65445,NA,40.1851,5.84525,1180.336815,98.2262,NA,NA,81.70365,1021.37875,327.86685,818.56775,8.227,NA,25.27565,16.1695,20.52835
2015-04-01,NA,47.8419,NA,13.32805,NA,4.636292,1297.67,290.6093,26.62325,NA,37.0238,5.67655,1124.432882,100.75605,NA,NA,76.63725,1050.77005,311.78795,771.4451,7.68875,NA,26.50835,16.6679,19.3789
2015-05-01,NA,53.9485,NA,14.65765,NA,13.935804,1434.604,331.08275,54.7896,NA,43.78555,6.2953,1119.096785,116.83515,11.8656,NA,92.81135,1367.00105,312.57535,851.8225,8.59075,NA,30.9645,29.09815,21.35735
2015-06-01,NA,61.95155,NA,15.8429,NA,16.06271,1782.5235,359.0352,130.9917,NA,49.8247,29.5913,1227.720407,138.8851,46.4123,15.02365,119.14385,1654.82465,324.4505,962.0914,9.6406,NA,35.9552,32.6073,23.5069
2015-07-01,NA,65.17515,NA,17.0608,NA,15.55891,1058.8455,382.42005,215.1007,NA,47.3718,89.6776,1314.83675,308.79185,94.17835,46.01185,135.39775,1844.62485,354.6431,1013.425,9.90535,NA,40.1779,35.7754,25.3634
2015-08-01,NA,62.0714,NA,16.18205,NA,13.9427,1060.914,364.4788,295.66625,NA,45.6426,85.59305,1297.06705,310.64795,95.63625,47.9675,129.8149,1792.28485,357.22475,967.8361,9.681,NA,41.44625,33.0634,68.40165
2015-09-01,NA,58.7497,NA,15.77165,NA,13.363661,1045.3525,355.868,358.55735,NA,44.50245,83.3361,1200.3819,298.2974,89.95315,46.0183,126.7683,1687.0567,341.85675,922.9322,8.75595,NA,42.48755,35.9023,270.57025
2015-10-01,NA,58.58505,NA,17.176,NA,13.13465,NA,337.95355,370.27785,NA,42.5465,85.4692,1153.09755,299.78785,91.1353,45.5244,121.51985,1637.81005,368.3656,885.41095,6.7075,NA,42.40725,50.96905,286.56545
2015-11-01,NA,65.502,NA,56.86605,NA,14.14535,NA,380.61995,447.22215,NA,46.8347,261.7259,1348.2787,328.7918,94.9416,48.92195,134.77885,1824.875,386.0131,981.0018,6.83775,NA,49.035,56.9446,341.6196
2015-12-01,NA,61.55145,NA,79.01635,NA,13.5889,NA,339.8187,417.6535,NA,41.46225,263.99675,1349.6066,308.063,95.93235,45.82355,123.8906,1697.33925,397.56695,912.1496,6.57505,13.10915,50.66515,54.19275,370.50375
2016-01-01,NA,57.8484,NA,85.847,NA,16.7586,NA,312.28165,399.92355,NA,38.86815,247.41375,1119.0853,289.70195,90.708,43.60185,115.66215,1560.32621,350.2219,838.969,6.0552,13.57375,47.3207,50.26085,357.7589
2016-02-01,NA,58.61645,NA,102.5705,NA,15.23785,NA,320.74735,406.6722,NA,40.4326,247.46095,1115.86235,312.49155,89.1361,42.766,120.6591,1541.19625,330.3371,842.81125,6.1387,13.6617,51.025,49.5048,390.27345
2016-03-01,NA,55.45535,NA,109.74025,NA,14.2192,NA,298.7918,389.8256,NA,37.31285,240.2972,1136.37265,315.94625,87.1257,41.4014,112.30065,1484.7766,355.5795,806.369,5.7614,12.8562,49.7797,56.58405,369.68695
2016-04-01,NA,53.8149,NA,109.92165,NA,13.4343,NA,288.49175,406.98705,NA,35.54355,229.9189,1081.665,304.514,85.7486,39.6141,107.9715,1421.23275,339.77825,776.4592,5.54135,12.20615,48.584,70.32455,359.3963
2016-05-01,NA,62.44705,NA,132.95365,NA,19.7442,NA,337.0621,491.0721,NA,42.128,268.97755,1127.01325,363.53955,100.4104,49.0753,127.2978,1637.17945,360.48315,899.012,6.458,14.76525,57.78125,80.28475,426.51625
2016-06-01,NA,67.9851,NA,143.97465,NA,78.2457,NA,353.6305,526.1601,NA,44.6022,285.86065,1272.3086,431.1823,149.3342,55.92025,134.61615,1730.0483,372.2177,946.06755,6.8011,15.42625,61.4313,85.7266,467.38885
2016-07-01,NA,112.9653,NA,159.90575,NA,88.5402,NA,387.9287,606.54835,NA,47.9788,375.1545,1386.81845,476.52495,315.64475,77.05135,145.77015,1854.82985,401.24735,1025.5702,7.65925,16.6613,72.05345,94.4692,534.23305
2016-08-01,NA,192.2719,NA,148.0317,NA,87.5536,NA,356.749,603.62205,2015.8192,45.20835,365.65805,1535.9788,445.2179,310.81165,126.1522,151.87595,1725.1054,398.8871,947.4232,6.90895,15.1427,70.44065,99.7323,492.3655
2016-09-01,NA,187.0644,NA,142.938899,NA,113.4683,9.61185,356.66615,603.90295,1900.06415,44.06855,352.85025,1307.96805,427.5388,301.8501,131.92635,168.47855,1658.78895,356.66275,909.4319,6.37175,14.4507,70.5135,141.6151,494.2236
2016-10-01,NA,183.38325,NA,135.13065,NA,114.29135,39.89815,327.2775,588.53135,1952.58405,40.36475,335.83135,1271.18455,404.47205,288.56365,129.72395,162.67115,1571.82715,370.89185,860.54805,5.9856,16.8948,69.4623,121.7105,459.8966
2016-11-01,NA,205.28838,NA,146.55075,NA,127.34935,47.99325,351.2319,678.828,2064.82845,43.1883,354.83995,1276.4656,434.31945,305.87995,156.44895,178.51105,1689.6194,375.29785,922.65215,6.3134,41.6797,74.03415,162.0455,492.01435
2016-12-01,NA,201.5493,NA,134.8129,NA,129.30425,44.70245,310.8719,706.49825,1911.2012,38.497,336.61855,1248.3639,402.79145,292.42015,170.16675,163.81795,1578.555,399.8675,845.3479,5.9691,50.5986,71.4464,155.2087,435.38665
2017-01-01,NA,202.6657,NA,136.52125,NA,136.079,45.20395,313.47625,785.3427,1933.8892,39.4203,369.87275,1222.2633,416.42015,303.04065,187.2838,166.64635,1571.0747,366.262215,846.27095,5.8507,54.7864,70.4502,157.6872,455.11765
2017-02-01,NA,172.32365,NA,118.987,NA,120.9505,39.18615,264.3691,706.97445,1642.037549,33.22115,335.27025,997.0819,350.05445,275.7825,165.073,140.52855,1340.065378,342.1938,714.3951,4.9925,48.68765,60.2342,135.603,392.65985
2017-03-01,NA,180.063,NA,128.41865,NA,128.25605,41.9202,275.0556,787.9589,1762.19315,34.61635,361.29485,1075.81045,372.50765,294.8927,184.05035,146.43515,1431.510477,360.91475,759.9259,5.09225,50.883,64.439,143.4722,411.3051
2017-05-01,NA,210.7588,NA,159.0345,NA,147.52345,48.35555,326.14585,974.0365,1937.377299,40.2122,413.3163,1236.22085,439.1029,348.6355,223.25805,170.75745,1648.83465,378.216185,869.15895,5.92595,62.36775,74.15895,164.88595,473.31265
2017-06-01,NA,216.29555,NA,169.17095,NA,150.7935,50.01605,334.21685,1040.7994,1941.1444,41.7086,423.51585,1226.83845,453.35485,363.59105,230.65535,174.9957,1701.37115,384.5938,887.6262,6.1569,73.3864,77.69355,169.48175,482.85125
2017-07-01,NA,267.45475,NA,193.38475,NA,166.64345,55.20885,372.22175,1200.3109,2159.48865,55.79115,474.40764,1305.4587,505.5621,397.2001,296.10065,194.7185,1885.18547,394.289,987.4707,6.67865,91.8212,87.26,189.7844,539.9118
2017-08-01,NA,286.109023,NA,174.76825,NA,149.1094,49.07545,334.3376,1090.4343,1832.94405,76.7372,437.56795,1190.9561,454.82635,358.28005,301.70865,172.4171,1687.3934,401.94885,872.6046,5.7426,112.62155,80.69525,167.84115,479.563
2017-09-01,NA,267.189703,NA,161.5591,NA,137.62495,45.51955,310.29735,1067.2064,1757.7423,98.379465,413.71135,1126.11965,454.01885,323.10285,285.4112,170.17675,1535.58246,368.3516,802.8088,5.24255,116.99125,75.60715,152.3381,441.5517
2017-10-01,NA,300.209146,NA,182.5063,NA,161.5499,58.3553,351.8681,1216.23375,1889.07235,115.41604,468.00505,1235.6129,507.39635,349.85565,342.9396,193.72085,1680.94265,373.83456,895.59795,6.0783,135.8326,82.09255,170.1598,516.4853
2017-11-01,NA,301.412554,NA,187.8345,NA,173.23239,67.9771,355.1126,1218.5148,1929.13695,122.0562,471.03885,1259.0275,509.0259,368.9023,347.4686,208.45585,1751.2334,378.1611,916.07,5.97985,143.00715,83.3771,168.9105,514.23015
2017-12-01,NA,310.7449,NA,177.92541,NA,161.2595,81.5134,323.5403,1169.31269,1780.8305,128.556745,445.0494,1162.02395,478.6706,357.00215,342.08315,198.14365,1657.3854,381.73285,854.446349,5.7239,137.2531,80.39385,161.27203,463.631
2018-01-01,NA,368.839155,NA,173.43545,NA,157.3151,90.42565,300.5531,1124.0579,1678.37765,124.5416,444.66455,1018.29635,458.7964,356.9461,338.1563,188.2543,1573.3786,398.91275,798.86615,5.4403,128.1936,76.20085,149.08865,438.24125
2018-02-01,NA,364.724588,NA,174.5379,NA,153.73145,88.98135,294.1933,1069.304525,1543.9771,129.0396,426.24907,924.22609,434.50425,337.74305,319.4743,182.4217,1470.12505,361.22258,759.633,5.19345,123.0818,72.8649,142.92006,433.45895
2018-03-01,NA,398.044483,NA,199.19335,NA,165.1362,94.81695,311.08725,1139.8321,1700.23465,136.30875,453.44755,1046.36912,458.38165,373.5785,336.783,199.4469,1580.2877,411.7061,817.997,5.4601,128.99435,77.0911,151.72505,454.9625
2018-04-01,NA,379.877404,NA,206.80415,NA,159.2088,90.86425,286.788,1078.599749,1622.454,119.8795,424.45485,981.37028,438.4136,366.0654,324.9581,182.05645,1492.00601,379.86396,766.4774,5.15465,121.6044,74.09485,159.6013,421.2763
2018-05-01,NA,427.005625,NA,231.15435,NA,172.9252,101.66085,314.7217,1205.6497,1722.0681,138.27715,463.691,1041.36467,479.7597,408.9679,357.0965,199.926,1633.99275,408.94645,826.562399,5.6064,133.3696,80.46755,175.6549,479.50115
2018-06-01,NA,477.299006,NA,254.59385,28.1705,193.736,113.06205,344.44795,1352.0169,1733.098,149.113349,502.94596,1106.71047,523.5215,450.5221,395.92745,218.20065,1787.25765,453.553,905.24635,5.98895,147.0334,88.23895,190.9922,525.45265
2018-07-01,NA,530.479284,NA,285.1598,76.307,213.82915,124.894149,384.43475,1497.32865,1978.8552,169.1815,554.26665,1190.17295,576.90295,493.88082,430.8077,240.60725,1967.0653,536.10585,991.8267,6.6432,162.16327,102.2243,228.93775,583.94485
2018-08-01,NA,450.552038,16.3349,244.98035,71.20285,185.02035,107.36665,330.6882,1287.18925,1657.4379,213.42575,475.12606,1084.49195,490.94555,434.28135,376.97935,203.225527,1698.0408,535.49095,853.78595,5.5432,140.85796,96.70555,197.08351,490.17225
2018-09-01,1.51945,474.453695,17.6232,241.0305,80.70595,188.73665,106.02765,330.9492,1297.320499,1658.6764,280.64745,476.57705,992.3691,485.6801,410.12005,364.7485,203.656721,1637.528749,496.9832,840.15515,5.6318,139.83325,100.44805,195.296,500.121
2018-10-01,8.55605,486.05852,17.6604,234.55115,78.5836,187.40845,101.7619,306.7572,1244.464,1638.84691,272.2023,468.5461,976.001999,456.68827,399.40912,357.592249,194.371062,1576.511589,501.0157,793.9112,5.3565,142.04039,96.48175,185.29565,473.9112
2018-11-01,17.97745,552.075609,19.3322,266.3272,90.634549,204.76475,118.428049,352.9083,1393.52325,1781.13005,298.254099,515.559999,1019.524099,505.36685,427.2537,432.1765,215.49715,1771.638199,532.29275,894.37555,5.9068,164.07405,104.68255,204.3211,504.48445
2018-12-01,25.937196,540.708127,18.5981,258.8942,108.308698,193.6533,116.97055,323.3781,1334.844185,1662.0714,279.6021,497.42883,980.55385,478.7042,416.587,425.30665,202.6235,1669.451349,523.8057,838.79045,5.6177,159.25265,100.9975,196.67759,477.954
2019-01-01,27.212499,510.752794,17.5118,249.3278,140.900399,189.37355,126.55765,299.21525,1284.36895,1501.4611,270.59675,460.6947,903.0157,460.00705,400.01635,401.35975,191.8669,1588.41339,540.1468325,783.0416,5.43085,158.03225,97.43455,181.46545,454.99645
2019-02-01,27.115099,492.615223,17.03985,246.2086,138.203396,181.8201,128.5928,293.999,1278.121499,1412.75265,265.40455,449.3583,856.553,436.99515,369.30865,384.09465,186.444289,1504.18465,444.965099,756.787549,5.15855,153.59475,93.9762,178.38315,449.3237
2019-03-01,30.068247,486.290119,16.71705,262.4603,140.112848,181.1418,127.55915,288.2588,1277.035059,1556.316649,257.2475,447.088971,857.95154,438.99005,377.2751,378.77055,184.274767,1542.186,390.44735,745.1869,5.27915,153.1103,93.0382,176.0506,450.201
2019-04-01,31.763299,474.94992,16.9158,261.64555,136.242999,195.5995,125.05235,276.18945,1246.55575,1485.376,248.261749,441.84994,835.00955,425.3063,373.054048,370.7974,175.565676,1514.53625,390.152035,733.2095,4.90725,146.71125,91.7632,171.16455,442.86025
2019-05-01,35.738348,541.811935,29.61375,308.362345,154.587897,224.88615,142.9475,317.50645,1421.2133,1567.60605,287.45311,499.25555,942.4989,487.7954,424.38305,422.4895,199.328709,1718.594597,417.584249,830.62435,5.6902,170.72295,105.37015,195.0089,503.09475
2019-06-01,39.358597,591.461604,66.25701,339.163496,166.047499,247.347899,155.19805,342.6044,1584.209799,1621.71175,368.254196,542.4013,984.0084,527.8526,454.95965,454.17795,213.393714,1836.416698,431.2704,892.316148,5.88395,186.702361,112.58695,208.72185,543.993
2019-07-01,42.951798,651.261383,78.96928,366.399447,180.396648,276.3853,170.300449,371.28655,1727.548398,1822.513044,474.287908,588.89725,1050.5642,565.87845,490.78915,486.44085,298.119636,1988.182249,476.758,961.756249,6.6413,201.242842,123.31725,226.02945,588.734
2019-08-01,40.545997,610.364553,75.16792,339.474347,168.37085,257.75165,157.29955,338.7884,1594.6543,1648.82275,443.174502,539.109345,1005.27471,524.9926,457.463798,457.67125,285.937434,1840.690757,448.7599,886.990677,6.11035,197.324247,113.9795,208.58025,550.5687
2019-09-01,37.984448,626.805286,79.43529,333.876494,172.334947,255.478299,160.915999,344.83777,1570.79315,1667.292649,449.610153,525.87575,957.445898,514.2088,433.104998,447.08295,289.102112,1768.016299,400.206899,866.538989,6.05,214.300705,109.6655,207.66655,556.704
2019-10-01,35.751148,580.96613,69.61883,314.111298,203.159047,234.39285,150.67309,302.5195,1451.90288,1597.14315,400.821897,477.267749,926.019747,458.4423,399.501999,407.55995,255.297797,1623.612779,410.720999,780.017016,5.4875,191.4303,98.90595,188.3723,499.41445
2019-11-01,37.999647,652.572251,77.72954,355.406044,239.463694,258.097198,175.496563,338.9959,1575.153947,1664.585149,448.882991,532.29761,961.811301,499.3361,426.734549,441.68005,283.069462,1770.856107,381.346349,865.320035,5.5879,208.3728,107.5043,203.48415,561.406969
2019-12-01,41.077548,644.94767,72.20334,348.237293,237.216186,248.241349,172.36785,309.80885,1468.957449,1603.201598,417.148333,515.244628,957.020695,480.82785,422.367996,447.918347,265.474696,1696.102398,409.32055,818.809616,6.171,198.7972,104.13035,195.3706,521.059847
2020-01-01,58.807697,705.678894,79.3443,378.629883,247.401246,254.794149,195.67739,323.64275,1538.940447,1526.145409,445.636141,532.926098,960.193797,501.2812,442.530407,479.129043,277.48987,1716.074849,401.047597,845.098344,16.0204,203.28605,109.99925,203.17115,554.942049
2020-02-01,65.305695,658.061407,70.9416,370.363846,239.672496,235.079048,182.007797,295.0775,1423.029686,1407.63241,401.434541,487.866899,866.142676,465.3272,423.756797,446.863317,277.310556,1621.872609,400.37637,772.740332,15.581498,189.8841,103.2069,185.0796,486.12995
2020-03-01,75.784047,740.161806,77.09042,412.692702,270.405795,270.857538,200.162275,310.767,1520.344598,1440.037149,425.304448,522.377198,893.611656,496.37,463.136767,472.294599,323.848016,1726.465046,391.9553,822.808645,16.604949,202.834378,109.9749,197.464999,533.396199
2020-04-01,74.168593,696.65574,71.51465,407.365102,250.868546,259.142697,188.309609,286.8814,1428.979387,1335.92837,395.734746,485.7487,847.458057,466.5379,432.915905,440.20895,308.688407,1624.373849,385.711048,770.79948,15.61935,187.40165,102.23355,184.64215,491.205399
2020-05-01,96.677596,809.142162,82.13201,473.138435,287.365649,293.573404,220.560078,334.14015,1624.626409,1596.891359,453.960947,559.922348,962.087499,533.33025,492.097844,500.925948,355.901676,1843.766246,448.898748,892.108403,18.1695,215.678805,118.223,210.56675,562.0599
2020-06-01,154.861745,869.508274,87.05925,510.014876,311.940199,337.985417,235.504649,352.5658,1735.223945,1596.95359,481.948347,601.2998,1009.678728,584.06345,529.521297,523.84195,376.884218,1958.394247,450.142589,954.763059,18.953799,235.99947,127.62775,221.635509,598.444449
2020-07-01,202.762487,920.722728,88.6291,530.902568,344.653386,350.920447,242.886347,362.5972,1775.318446,1696.410741,497.544131,617.238498,1044.437197,586.226699,538.023593,547.288545,387.318308,2010.454447,488.775497,982.443538,19.788948,254.369885,132.35065,228.6766,626.115498
